end_id,end_label,start_id,start_label,rel_id,surface_text,weight,dataset
/c/en/athlete/n/wn/person,athlete,/c/en/ball_hawk/n/wn/person,ball hawk,/r/IsA,[[ball hawk]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/skater/n/wn/person,skater,/r/IsA,[[skater]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/winger/n/wn/soccer,winger,/r/IsA,[[winger]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/shot_putter/n/wn/person,shot putter,/r/IsA,[[shot putter]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/hurdler/n/wn/person,hurdler,/r/IsA,[[hurdler]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/skier/n/wn/person,skier,/r/IsA,[[skier]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/soccer_player/n/wn/person,soccer player,/r/IsA,[[soccer player]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/striker/n/wn/person,striker,/r/IsA,[[striker]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n,athlete,/c/en/badminton_player/n,badminton player,/r/IsA,,2.0,/d/opencyc
/c/en/contestant/n/wn/person,contestant,/c/en/athlete/n/wn/person,athlete,/r/IsA,[[athlete]] is a type of [[contestant]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/substitute/n/wn/person,substitute,/r/IsA,[[substitute]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/hooker/n/wn/rugby,hooker,/r/IsA,[[hooker]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/tennis_player/n/wn/person,tennis player,/r/IsA,[[tennis player]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/cupbearer/n/wn/person,cupbearer,/r/IsA,[[cupbearer]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/groomsman/n/wn/person,groomsman,/r/IsA,[[groomsman]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/rocker/n/wn/person,rocker,/r/IsA,[[rocker]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/equerry/n/wn/person,equerry,/r/IsA,[[equerry]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/stretcher_bearer/n/wn/person,stretcher-bearer,/r/IsA,[[stretcher-bearer]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/meeter/n/wn/person,meeter,/r/Synonym,[[meeter]] is a synonym of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/partygoer/n/wn/person,partygoer,/r/IsA,[[partygoer]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/bellboy/n/wn/person,bellboy,/r/IsA,[[bellboy]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/squire/n/wn/person,squire,/r/IsA,[[squire]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/courtier/n/wn/person,courtier,/r/IsA,[[courtier]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/baggageman/n/wn/person,baggageman,/r/IsA,[[baggageman]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/conventioneer/n/wn/person,conventioneer,/r/IsA,[[conventioneer]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/participant/n/wn/person,participant,/c/en/attendant/n/wn/person,attendant,/r/IsA,[[attendant]] is a type of [[participant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/page/n/wn/person,page,/r/IsA,[[page]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/orderly/n/wn/person,orderly,/r/IsA,[[orderly]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/a/wn,attendant,/c/en/present/a/wn,present,/r/SimilarTo,[[present]] is similar to [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/famulus/n/wn/person,famulus,/r/IsA,[[famulus]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/gillie/n/wn/person,gillie,/r/IsA,[[gillie]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/steward/n/wn/person,steward,/r/IsA,[[steward]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/second/n/wn/person,second,/r/IsA,[[second]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/trainbearer/n/wn/person,trainbearer,/r/IsA,[[trainbearer]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/companion/n/wn/person,companion,/r/IsA,[[companion]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/checker/n/wn/person,checker,/r/IsA,[[checker]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/batman/n/wn/person,batman,/r/IsA,[[batman]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/attendee/n/wn/person,attendee,/r/Synonym,[[attendee]] is a synonym of [[attendant]],2.0,/d/wordnet/3.1
/c/en/present/a/wn,present,/c/en/attendant/a/wn,attendant,/r/SimilarTo,[[attendant]] is similar to [[present]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/attender/n/wn/person,attender,/r/Synonym,[[attender]] is a synonym of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/caddie/n/wn/person,caddie,/r/IsA,[[caddie]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/accompanying/a/wn,accompanying,/c/en/attendant/a/wn,attendant,/r/Synonym,[[attendant]] is a synonym of [[accompanying]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/symposiast/n/wn/person,symposiast,/r/IsA,[[symposiast]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/matron_of_honor/n/wn/person,matron of honor,/r/IsA,[[matron of honor]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/racker/n/wn/person,racker,/r/IsA,[[racker]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/linkboy/n/wn/person,linkboy,/r/IsA,[[linkboy]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/esquire/n/wn/middle_ages,esquire,/r/IsA,[[esquire]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/bridesmaid/n/wn/person,bridesmaid,/r/IsA,[[bridesmaid]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/tender/n/wn/person,tender,/r/Synonym,[[tender]] is a synonym of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/escort/n/wn/person,escort,/r/IsA,[[escort]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/assistant/n/wn/person,assistant,/c/en/attendant/n/wn/person,attendant,/r/IsA,[[attendant]] is a type of [[assistant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/servitor/n/wn/person,servitor,/r/IsA,[[servitor]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/lifeguard/n/wn/person,lifeguard,/r/IsA,[[lifeguard]] is a type of [[attendant]],2.0,/d/wordnet/3.1
/c/en/accompaniment/n/wn/event,accompaniment,/c/en/attendant/n/wn/event,attendant,/r/Synonym,[[attendant]] is a synonym of [[accompaniment]],2.0,/d/wordnet/3.1
/c/en/attendant/n/wn/person,attendant,/c/en/loader/n/wn/person,loader,/r/IsA,[[loader]] is a type of [[attendant]],2.0,/d/wordnet/3.1
